year,world,brasil
1991,3.874,1.353
1992,3.804,1.352
1993,3.769,1.371
1994,3.732,1.396
1995,3.781,1.491
1996,3.806,1.597
1997,3.813,1.683
1998,3.781,1.712
1999,3.747,1.744
2000,3.812,1.788
2001,3.827,1.803
2002,3.834,1.767
2003,3.958,1.701
2004,4.092,1.771
2005,4.196,1.775
2006,4.281,1.774
2007,4.391,1.848
2008,4.376,1.938
2009,4.277,1.809
2010,4.483,2.032
2011,4.571,2.111
2012,4.578,2.266
2013,4.611,2.401
2014,4.561,2.499
2015,4.488,2.347
2016,4.436,2.143
2017,4.441,2.164
2018,4.483,2.041
