Entity,Code,Year,Annual CO2 emissions
Asia,,1902,53423959
Asia,,1903,57928702
Asia,,1904,64999701
Asia,,1905,66200000
Asia,,1906,88419538
Asia,,1907,95293573
Asia,,1908,107143788
Asia,,1909,107012776
Asia,,1910,105715843
Asia,,1911,122218466
Asia,,1912,113940389
Asia,,1913,125399796
Asia,,1914,132648793.00000001
Asia,,1915,128605610.00000001
Asia,,1916,139094460
Asia,,1917,151082252
Asia,,1918,153718636
Asia,,1919,170301844
Asia,,1920,162352534
Asia,,1921,158792331
Asia,,1922,168497633
Asia,,1923,185455058
Asia,,1924,200248420
Asia,,1925,203422874
Asia,,1926,205744779
Asia,,1927,225745312
Asia,,1928,236387514
Asia,,1929,247455613
Asia,,1930,248353010
Asia,,1931,239473483
Asia,,1932,239854586
Asia,,1933,264200919
Asia,,1934,300190550
Asia,,1935,326445957
Asia,,1936,358514023
Asia,,1937,379976223
Asia,,1938,393902403
Asia,,1939,416829477
Asia,,1940,473380279
Asia,,1941,477518689
Asia,,1942,436416188
Asia,,1943,431292916
Asia,,1944,439646518
Asia,,1945,327266803
Asia,,1946,316150627
Asia,,1947,378617576
Asia,,1948,376320437
Asia,,1949,463715087
Asia,,1950,483824105
Asia,,1951,463903999
Asia,,1952,514485839.00000006
Asia,,1953,551230489
Asia,,1954,604140401
Asia,,1955,688506889
Asia,,1956,764204842
Asia,,1957,859784074
Asia,,1958,1155150022
Asia,,1959,1391688249
Asia,,1960,1537333755
Asia,,1961,1392745886
Asia,,1962,1342001493
Asia,,1963,1422834012
Asia,,1964,1504579921
Asia,,1965,1647628176
Asia,,1966,1793735504
Asia,,1967,1822724451
Asia,,1968,2013832743
Asia,,1969,2284989516
Asia,,1970,2687709748
Asia,,1971,2946190321
Asia,,1972,3113379422
Asia,,1973,3343167791
Asia,,1974,3403688634
Asia,,1975,3572919154
Asia,,1976,3804977537
Asia,,1977,4050019745
Asia,,1978,4231363859
Asia,,1979,4405052062
Asia,,1980,4404028289
Asia,,1981,4377357663
Asia,,1982,4526763548
Asia,,1983,4708334065
Asia,,1984,4980521798
Asia,,1985,5277343971
Asia,,1986,5490336051
Asia,,1987,5716444405
Asia,,1988,6161031731
Asia,,1989,6375842008
Asia,,1990,6571251543
Asia,,1991,6885974131
Asia,,1992,7141074792
Asia,,1993,7479305076
Asia,,1994,7808823746
Asia,,1995,8120835075
Asia,,1996,8463325240
Asia,,1997,8576128849.999999
Asia,,1998,8313417105
Asia,,1999,8573472710
Asia,,2000,8994853271
Asia,,2001,9153744620
Asia,,2002,9673236100
Asia,,2003,10571682440
Asia,,2004,11559671030
Asia,,2005,12362491720
Asia,,2006,13187853820
Asia,,2007,13919476350
Asia,,2008,14708063270
Asia,,2009,15276684840
Asia,,2010,16327225070
Asia,,2011,17520494260
Asia,,2012,18238782400
Asia,,2013,18421250480
Asia,,2014,18729131680
Asia,,2015,18870079630
Asia,,2016,18973574640
Asia,,2017,19373877900
Asia,,2018,19917214110
Asia,,2019,20241964120
Brazil,BRA,1902,2506176
Brazil,BRA,1903,2440224
Brazil,BRA,1904,2619760
Brazil,BRA,1905,2799296
Brazil,BRA,1906,3206000
Brazil,BRA,1907,3451488
Brazil,BRA,1908,3594384
Brazil,BRA,1909,3609040
Brazil,BRA,1910,4198944
Brazil,BRA,1911,4605648
Brazil,BRA,1912,5591264
Brazil,BRA,1913,6034608
Brazil,BRA,1914,4107344.0000000005
Brazil,BRA,1915,3143712
Brazil,BRA,1916,2879904
Brazil,BRA,1917,2498848
Brazil,BRA,1918,2322976
Brazil,BRA,1919,3070432
Brazil,BRA,1920,3645680
Brazil,BRA,1921,2890896
Brazil,BRA,1922,3781248
Brazil,BRA,1923,4616640
Brazil,BRA,1924,5103952
Brazil,BRA,1925,5375088
Brazil,BRA,1926,5477680
Brazil,BRA,1927,6074912
Brazil,BRA,1928,5927995
Brazil,BRA,1929,6345662
Brazil,BRA,1930,5513964
Brazil,BRA,1931,4168948.9999999995
Brazil,BRA,1932,4169037.9999999995
Brazil,BRA,1933,4722005
Brazil,BRA,1934,4622661
Brazil,BRA,1935,5509171
