Year,CO2 Asia,CO2 Brazil,CO2 China,CO2 Europe,CO2 Germany,CO2 South America,CO2 USA,CO2 World
1990,6571251543,206921120,2420789420,8011565262,1052348544,583122508,5128300617,22697611920
1991,6885974131,217227661,2538029952,8011565262,1014199715,590193867,5078889576,23169529330
1992,7141074792,218383343,2653192085,8011565262,965889813,599221094,5182706720,22444951330
1993,7479305076,228333216,2835795473,8011565262,956233108,633843015,5283437595,22682603210
1994,7808823746,239470565,3010242401,8011565262,939630279,652546435,5377032708,22843787720
1995,8120835075,255583536,3265056964,8011565262,939176704,685340485,5438905704,23332159070
1996,8463325240,281194784,3408346591,8011565262,959124130,716541140,5626911901,24050843640
1997,8576128849,296585442,3414549286,8011565262,931230070,757542374,5703706968,24191148150
1998,8313417105,380344748,3265902621,8011565262,923275909,811291377,5751051980,24112118810
1999,8573472710,360090776,3258135129,8011565262,895642931,827697540,5830297636,24431050760
2000,8994853271,324226040,3349295022,8011565262,899780198,807286355,5998070434,25119042310
2001,9153744620,332987400,3426143795,8011565262,916366135,818743142,5900436596,25332202520
2002,9673236100,327434832,3782439297,8011565262,899821053,828196523,5942652335,25911186280
2003,10571682440,317508303,4452310296,8011565262,900866405,831393041,5991959633,27176183980
2004,11559671030,333675144,5125894416,8011565262,886965974,840071692,6107618246,28470451250
2005,12362491720,342086472,5771168440,8011565262,866388549,879838753,6131892976,29410889340
2006,13187853820,341946368,6377748016,8011565262,877997391,888523240,6051051022,30374553990
2007,13919476350,356918752,6861750652,8011565262,851383305,905885325,6128429640,31293862300
2008,14708063270,380344748,7375189907,8011565262,854706334,974014173,5930539643,31946033900
2009,15276684840,360090776,7758811768,8011565262,790195717,960678725,5491035727,31464200430
2010,16327225070,411240192,8500542695,8011565262,832669735,1051881962,5698055779,33131911070
2011,17520494260,429959368,9388199234,8011565262,809426950,1064184112,5565294401,34209582570
2012,18238782400,460098000,9633899303,8011565262,813893121,1130009055,5367568555,34760008140
2013,18421250480,495046768,9796526887,8011565262,831316279,1157761436,5514029294,34987263550
2014,18729131680,495046768,9820360215,8011565262,792684874,1193904098,5561719216,35244868110
2015,18870079630,495213709,9683200711,8011565262,795816359,1152383623,5412432194,35209446560
2016,18973574640,478442801,9552516545,8011565262,800510288,1148424898,5292267561,35220412420
2017,19373877900,484588129,9750725978,8011565262,786654551,1126973191,5253606130,35696348890
2018,19917214110,466649304,9956568523,8011565262,755362342,1096955865,5424881502,36419711710
2019,20241964120,465715770,10174681100,8011565262,701955108,1085107306,5284696657,36441387580
